Name,Score,Rank,Type,Episodes,Premiered,Producers,Studios,Genres,Popularity,Members,Favorites,From,To
Fullmetal Alchemist: Brotherhood,9.11,1,TV,64,Spring,"['Mainichi Broadcasting System', 'Studio Moriken', 'Square Enix', 'Aniplex']",['Bones'],"['Adventure', 'Drama', 'Fantasy', 'Action']",3,3037641,211082,2009-04-05,2010-07-04
Bleach: Sennen Kessen-hen,9.1,2,TV,13,Fall,"['TV Tokyo', 'Shueisha', 'Dentsu', 'Aniplex']",['Pierrot'],"['Adventure', 'Fantasy', 'Action']",669,310979,11798,2022-10-11,2022-12-27
Kaguya-sama wa Kokurasetai: Ultra Romantic,9.09,3,TV,13,Spring,"['JR East Marketing & Communications', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'Aniplex']",['A-1 Pictures'],"['Comedy', 'Romance']",238,703336,25895,2022-04-09,2022-06-25
Steins;Gate,9.08,4,TV,24,Spring,"['Movic', 'AT-X', 'Nitroplus', 'Kadokawa Pictures Japan', 'Media Factory', 'Frontier Works']",['White Fox'],"['Drama', 'Sci-Fi', 'Suspense']",13,2338343,177381,2011-04-06,2011-09-14
Gintama°,9.07,5,TV,51,Spring,"['TV Tokyo', 'Dentsu', 'Aniplex']",['Bandai Namco Pictures'],"['Sci-Fi', 'Comedy', 'Action']",337,567213,15323,2015-04-08,2016-03-30
Shingeki no Kyojin Season 3 Part 2,9.06,6,TV,10,Spring,"['Mainichi Broadcasting System', 'Production I.G', 'Kodansha', 'Pony Canyon Enterprise', 'Dentsu', 'Pony Canyon', 'Techno Sound']",['Wit Studio'],"['Drama', 'Action']",27,1972472,53374,2019-04-29,2019-07-01
Gintama',9.05,7,TV,51,Spring,"['TV Tokyo', 'Miracle Robo', 'Shueisha', 'Dentsu', 'Studio Jack', 'Trinity Sound', 'Aniplex']",['Sunrise'],"['Sci-Fi', 'Comedy', 'Action']",382,499850,7422,2011-04-04,2012-03-26
Gintama: The Final,9.05,8,Movie,1,,"['TV Tokyo', 'Warner Bros. Japan']",['Bandai Namco Pictures'],"['Drama', 'Sci-Fi', 'Comedy', 'Action']",1612,118533,3877,2021-01-08,2021-01-08
Gintama': Enchousen,9.04,9,TV,13,Fall,"['TV Tokyo', 'Shueisha', 'Dentsu', 'Miracle Bus', 'Aniplex']",['Sunrise'],"['Sci-Fi', 'Comedy', 'Action']",708,296566,2904,2012-10-04,2013-03-28
Hunter x Hunter (2011),9.04,10,TV,148,Fall,"['Nippon Television Network', 'Shueisha', 'VAP']",['Madhouse'],"['Adventure', 'Fantasy', 'Action']",10,2519712,192492,2011-10-02,2014-09-24
Ginga Eiyuu Densetsu,9.03,11,OVA,110,,"['TV Tokyo', 'Tokuma Japan Communications', 'Kitty Films', 'Wright Staff', 'Tokuma Shoten']","['K-Factory', 'Kitty Film Mitaka Studio']","['Drama', 'Sci-Fi']",715,293586,15178,1988-01-08,1997-03-17
Fruits Basket: The Final,9.02,12,TV,13,Spring,"['TMS Music', 'TV Tokyo', 'Avex Pictures', 'TV Osaka', 'Nihon Ad Systems', '8PAN', 'Hakusensha']",['TMS Entertainment'],"['Drama', 'Supernatural', 'Romance']",508,390263,17825,2021-04-06,2021-06-29
Gintama.,8.99,13,TV,12,Winter,"['TV Tokyo', 'Shueisha', 'Dentsu', 'Aniplex']",['Bandai Namco Pictures'],"['Sci-Fi', 'Comedy', 'Action']",740,283739,2584,2017-01-09,2017-03-27
3-gatsu no Lion 2nd Season,8.95,14,TV,22,Fall,"['NHK', 'Asmik Ace', 'Hakusensha', 'Dentsu', ""Toy's Factory"", 'Aniplex']",['Shaft'],"['Drama', 'Slice of Life']",540,368256,14557,2017-10-14,2018-03-31
Clannad: After Story,8.94,15,TV,24,Fall,"['Rakuonsha', 'Pony Canyon', 'Animation Do', 'TBS']",['Kyoto Animation'],"['Drama', 'Supernatural', 'Romance']",108,1115447,67819,2008-10-03,2009-03-27
Gintama,8.94,16,TV,201,Spring,"['TV Tokyo', 'Miracle Robo', 'Shueisha', 'Dentsu', 'Trinity Sound', 'Aniplex', 'Audio Highs']",['Sunrise'],"['Sci-Fi', 'Comedy', 'Action']",138,980234,56296,2006-04-04,2010-03-25
Koe no Katachi,8.94,17,Movie,1,,"['Quaras', 'ABC Animation', 'Kodansha', 'Shochiku', 'Pony Canyon']",['Kyoto Animation'],"['Drama', 'Award Winning']",18,2079586,80142,2016-09-17,2016-09-17
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.92,18,Movie,1,,"['TV Tokyo', 'Bandai', 'Warner Bros. Japan', 'Shueisha', 'Dentsu', 'Aniplex']",['Sunrise'],"['Sci-Fi', 'Comedy', 'Action']",944,220178,2048,2013-07-06,2013-07-06
Violet Evergarden Movie,8.92,19,Movie,1,,['Shochiku'],['Kyoto Animation'],"['Drama', 'Fantasy', 'Award Winning']",388,494453,7571,2020-09-18,2020-09-18
Code Geass: Hangyaku no Lelouch R2,8.91,20,TV,25,Spring,"['Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners', 'Bandai Visual']",['Sunrise'],"['Drama', 'Sci-Fi', 'Action']",47,1635505,72920,2008-04-06,2008-09-28
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.89,21,TV,14,Summer,"['TV Tokyo', 'Shueisha', 'Dentsu', 'Aniplex']",['Bandai Namco Pictures'],"['Sci-Fi', 'Comedy', 'Action']",1182,175310,991,2018-07-09,2018-10-08
Owarimonogatari 2nd Season,8.89,22,TV,7,Summer,"['Kodansha', 'Aniplex']",['Shaft'],"['Supernatural', 'Mystery', 'Comedy']",547,365261,8277,2017-08-12,2017-08-13
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.86,23,ONA,14,,"['Medicos Entertainment', 'KlockWorx', 'Shueisha', 'Warner Bros. Japan']",['David Production'],"['Adventure', 'Action']",2411,64060,1207,2022-12-01,2022-12-01
Kimi no Na wa.,8.85,24,Movie,1,,"['JR East Marketing & Communications', 'Amuse', 'voque ting', 'Kadokawa', 'Sound Team Don Juan', 'Toho']",['CoMix Wave Films'],"['Drama', 'Supernatural', 'Award Winning']",11,2475126,84522,2016-08-26,2016-08-26
Monster,8.85,25,TV,74,Spring,"['Nippon Television Network', 'VAP', 'Shogakukan-Shueisha Productions']",['Madhouse'],"['Drama', 'Mystery', 'Suspense']",149,923705,42608,2004-04-07,2005-09-28
Chainsaw Man,8.83,26,TV,12,Fall,"['add some', 'None found, ']",['MAPPA'],"['Fantasy', 'Action']",156,888451,28657,2022-10-12,
Kimetsu no Yaiba: Yuukaku-hen,8.83,27,TV,11,Winter,"['Shueisha', 'Aniplex']",['ufotable'],"['Fantasy', 'Action']",120,1056602,22097,2021-12-05,2022-02-13
Bocchi the Rock!,8.82,28,TV,12,Fall,"['Aniplex', 'Houbunsha']",['CloverWorks'],['Comedy'],1419,140247,3292,2022-10-09,
Kingdom 3rd Season,8.82,29,TV,26,Spring,['Shueisha'],"['Studio Signpost', 'Pierrot']",['Action'],2072,81973,1659,2020-04-06,2021-10-17
Gintama.: Shirogane no Tamashii-hen,8.81,30,TV,12,Winter,"['TV Tokyo', 'Shueisha', 'Dentsu', 'Aniplex']",['Bandai Namco Pictures'],"['Sci-Fi', 'Comedy', 'Action']",1090,189448,1106,2018-01-08,2018-03-26
Mob Psycho 100 II,8.81,31,TV,13,Winter,"['Hakuhodo DY Music & Pictures', 'KlockWorx', 'Shogakukan', 'Warner Bros. Japan', 'BS Fuji']",['Bones'],"['Supernatural', 'Comedy', 'Action']",78,1338265,30965,2019-01-07,2019-04-01
Shingeki no Kyojin: The Final Season,8.81,32,TV,16,Winter,"['Mainichi Broadcasting System', 'Production I.G', 'Kodansha', 'Pony Canyon Enterprise', 'Dentsu', 'Pony Canyon', 'Techno Sound']",['MAPPA'],"['Drama', 'Action']",41,1717738,50522,2020-12-07,2021-03-29
Kizumonogatari III: Reiketsu-hen,8.8,33,Movie,1,,"['Kodansha', 'Aniplex']",['Shaft'],"['Supernatural', 'Mystery', 'Action']",459,422653,7050,2017-01-06,2017-01-06
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.79,34,TV,10,Fall,"['Mainichi Broadcasting System', 'TOHO animation', 'Movic', 'Sony Music Entertainment', 'Dentsu', 'Shueisha']",['Production I.G'],['Sports'],112,1089648,14902,2016-10-08,2016-12-10
Sen to Chihiro no Kamikakushi,8.78,35,Movie,1,,['Toho'],['Studio Ghibli'],"['Adventure', 'Supernatural', 'Award Winning']",44,1686320,29854,2001-07-20,2001-07-20
Shingeki no Kyojin: The Final Season Part 2,8.78,36,TV,12,Winter,"['Mainichi Broadcasting System', 'Production I.G', 'Kodansha', 'Pony Canyon Enterprise', 'Dentsu', 'Pony Canyon']",['MAPPA'],"['Drama', 'Action']",132,993091,27790,2022-01-10,2022-04-04
Monogatari Series: Second Season,8.77,37,TV,26,Summer,"['Kodansha', 'Cyclone Graphics', 'Aniplex']",['Shaft'],"['Supernatural', 'Mystery', 'Comedy', 'Romance']",283,629718,22770,2013-07-07,2013-12-29
Shiguang Dailiren,8.77,38,ONA,11,,"['BeDream', 'bilibili']",['Studio LAN'],"['Drama', 'Supernatural']",826,253206,8317,2021-04-30,2021-07-09
Kingdom 4th Season,8.76,39,TV,26,Spring,"['Avex Pictures', 'NHK Enterprises', 'Shueisha']","['Studio Signpost', 'Pierrot']",['Action'],2928,44945,853,2022-04-10,2022-10-02
Cowboy Bebop,8.75,40,TV,26,Spring,['Bandai Visual'],['Sunrise'],"['Sci-Fi', 'Action']",43,1694733,75344,1998-04-03,1999-04-24
Hajime no Ippo,8.75,41,TV,75,Fall,['VAP'],['Madhouse'],['Sports'],377,510112,18736,2000-10-04,2002-03-27
Mushishi Zoku Shou 2nd Season,8.74,42,TV,10,Fall,"['Kodansha', 'Delfi Sound', 'Aniplex']",['Artland'],"['Adventure', 'Fantasy', 'Supernatural', 'Mystery', 'Slice of Life']",851,246099,1357,2014-10-19,2014-12-21
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.74,43,TV,12,Winter,"['Mainichi Broadcasting System', 'Kodansha', 'King Records', 'DAX Production']",['Studio Deen'],['Drama'],1180,175425,3033,2017-01-07,2017-03-25
Vinland Saga,8.73,44,TV,24,Summer,"['Production I.G', 'Twin Engine', 'Kodansha', 'Dentsu']",['Wit Studio'],"['Adventure', 'Drama', 'Action']",92,1213059,37030,2019-07-08,2019-12-30
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.72,45,TV,12,Fall,"['TOHO animation', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'GREE Entertainment', 'BS11', 'Kadokawa', 'Egg Firm', 'Frontier Works']",['Studio Bind'],"['Drama', 'Fantasy', 'Ecchi']",247,684750,15887,2021-10-04,2021-12-20
Odd Taxi,8.71,46,TV,13,Spring,"['TV Tokyo', 'Yoshimoto Kogyo', 'Crunchyroll', 'AT-X', 'Pony Canyon Enterprise', 'Dentsu', 'Pony Canyon']","['P.I.C.S.', 'OLM']","['Mystery', 'Award Winning']",573,351868,7179,2021-04-06,2021-06-29
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,47,OVA,4,,['Aniplex'],['Studio Deen'],"['Drama', 'Romance', 'Action']",798,263289,6030,1999-02-20,1999-09-22
Spy x Family,8.71,48,TV,12,Spring,"['TV Tokyo', 'TOHO animation', 'Shueisha', 'Shogakukan-Shueisha Productions']","['CloverWorks', 'Wit Studio']","['Comedy', 'Action']",106,1131018,35661,2022-04-09,2022-06-25
86 Part 2,8.71,49,TV,12,Fall,"['Bandai Spirits', 'Aniplex', 'Kadokawa']",['A-1 Pictures'],"['Drama', 'Sci-Fi', 'Action']",532,371362,11109,2021-10-03,2022-03-19
Ashita no Joe 2,8.71,50,TV,47,Fall,['Annapuru'],['Tokyo Movie Shinsha'],"['Drama', 'Slice of Life', 'Sports', 'Action']",2930,44905,2287,1980-10-13,1981-08-31
Code Geass: Hangyaku no Lelouch,8.7,51,TV,25,Fall,"['Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Sony Music Entertainment', 'Hakuhodo DY Media Partners', 'Bandai Visual']",['Sunrise'],"['Drama', 'Sci-Fi', 'Action']",19,2072313,102655,2006-10-06,2007-07-29
Made in Abyss: Retsujitsu no Ougonkyou,8.7,52,TV,12,Summer,"['Kadokawa Media House', 'AT-X', 'Global Solutions', 'Kadokawa', 'IRMA LA DOUCE', 'Cygames', 'Sony Music Solutions', 'Takeshobo']",['Kinema Citrus'],"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi', 'Mystery']",642,318469,4073,2022-07-06,2022-09-28
Mushishi Zoku Shou,8.7,53,TV,10,Spring,"['Kodansha', 'Delfi Sound', 'Aniplex']",['Artland'],"['Adventure', 'Fantasy', 'Supernatural', 'Mystery', 'Slice of Life']",750,279333,1489,2014-04-05,2014-06-21
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.69,54,Movie,1,,"['Kadokawa', 'Notes', 'Aniplex']",['ufotable'],"['Fantasy', 'Supernatural', 'Action']",699,299520,7375,2020-08-15,2020-08-15
Great Teacher Onizuka,8.69,55,TV,43,Summer,"['Fuji TV', 'Aniplex']",['Pierrot'],"['Drama', 'Comedy']",214,757989,24393,1999-06-30,2000-09-17
One Piece,8.68,56,TV,,Fall,"['Shueisha', 'Fuji TV', 'TAP']",['Toei Animation'],"['Adventure', 'Fantasy', 'Action']",23,2021541,184568,1999-10-20,
Made in Abyss,8.67,57,TV,13,Summer,"['Sony Music Communications', 'Kadokawa Media House', 'AT-X', 'Kanetsu Investment', 'Takeshobo', 'Global Solutions', 'Kadokawa', 'IRMA LA DOUCE', 'Cygames', 'Media Factory']",['Kinema Citrus'],"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi', 'Mystery']",91,1219505,40066,2017-07-07,2017-09-29
Mononoke Hime,8.67,58,Movie,1,,"['Nippon Television Network', 'Tokuma Shoten']",['Studio Ghibli'],"['Adventure', 'Fantasy', 'Award Winning', 'Action']",103,1144307,19772,1997-07-12,1997-07-12
Mushishi,8.67,59,TV,26,Fall,"['Delfi Sound', 'Avex Entertainment', 'Marvelous', 'SKY Perfect Well Think']",['Artland'],"['Adventure', 'Fantasy', 'Supernatural', 'Mystery', 'Slice of Life']",204,767870,25348,2005-10-23,2006-06-19
Violet Evergarden,8.67,60,TV,13,Winter,"['Rakuonsha', 'ABC Animation', 'Pony Canyon', 'Lantis']",['Kyoto Animation'],"['Drama', 'Fantasy']",51,1592513,54962,2018-01-11,2018-04-05
Hajime no Ippo: New Challenger,8.66,61,TV,26,Winter,"['Nippon Television Network', 'Kodansha', 'VAP']",['Madhouse'],['Sports'],821,253910,1634,2009-01-07,2009-07-01
Howl no Ugoku Shiro,8.66,62,Movie,1,,"['Tokuma Shoten', 'd-rights']",['Studio Ghibli'],"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Award Winning']",95,1190782,25209,2004-11-20,2004-11-20
Jujutsu Kaisen,8.66,63,TV,24,Fall,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'Sumzap', 'dugout']",['MAPPA'],"['Fantasy', 'Award Winning', 'Action']",20,2059920,76895,2020-10-03,2021-03-27
Mo Dao Zu Shi: Wanjie Pian,8.66,64,ONA,12,,['Tencent Penguin Pictures'],['B.CMAY PICTURES'],"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Action']",2405,64298,1405,2021-08-07,2021-10-16
Shigatsu wa Kimi no Uso,8.66,65,TV,22,Fall,"['Lawson HMV Entertainment', 'Kodansha', 'Dentsu', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Fuji TV', 'Aniplex']",['A-1 Pictures'],"['Drama', 'Romance']",22,2021898,81513,2014-10-10,2015-03-20
Mob Psycho 100 III,8.65,66,TV,,Fall,"['Shogakukan', 'Hakuhodo DY Music & Pictures', 'KlockWorx', 'Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'BS Fuji']",['Bones'],"['Supernatural', 'Comedy', 'Action']",485,403955,4758,2022-10-06,
Natsume Yuujinchou Shi,8.65,67,TV,13,Winter,"['TV Tokyo', 'Nihon Ad Systems', 'Hakusensha', 'Sony Music Entertainment', 'Aniplex']","[""Brain's Base""]","['Drama', 'Supernatural', 'Slice of Life']",909,229419,1915,2012-01-03,2012-03-27
Cyberpunk: Edgerunners,8.65,68,ONA,10,,['CD Projekt Red'],['Trigger'],"['Sci-Fi', 'Action']",490,399263,13883,2022-09-13,2022-09-13
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.65,69,TV,12,Spring,"['JR East Marketing & Communications', 'Mainichi Broadcasting System', 'Shueisha', 'Aniplex']",['A-1 Pictures'],['Comedy'],96,1175229,18483,2020-04-11,2020-06-27
Haikyuu!! Second Season,8.64,70,TV,25,Fall,"['Mainichi Broadcasting System', 'TOHO animation', 'Movic', 'Sony Music Entertainment', 'Dentsu', 'Shueisha']",['Production I.G'],['Sports'],84,1301767,15298,2015-10-04,2016-03-27
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.64,71,Movie,1,,"['Shueisha', 'Aniplex']",['ufotable'],"['Fantasy', 'Action']",86,1271481,12270,2020-10-16,2020-10-16
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.64,72,Movie,1,,['IRMA LA DOUCE'],['Kinema Citrus'],"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi', 'Mystery']",515,384946,3101,2020-01-17,2020-01-17
Tengen Toppa Gurren Lagann,8.63,73,TV,27,Spring,"['TV Tokyo', 'Konami', 'Half H.P Studio', 'Bandai', 'Dentsu', 'Aniplex']",['Gainax'],"['Adventure', 'Sci-Fi', 'Comedy', 'Award Winning', 'Action']",62,1499194,74147,2007-04-01,2007-09-30
Natsume Yuujinchou Roku,8.62,74,TV,11,Spring,"['TV Tokyo', 'Nihon Ad Systems', 'Hakusensha', 'Aniplex']",['Shuka'],"['Drama', 'Supernatural', 'Slice of Life']",1214,170824,1018,2017-04-12,2017-06-21
Ping Pong the Animation,8.62,75,TV,11,Spring,"['Dentsu', 'Kyoraku Industrial Holdings', 'Fuji TV', 'Aniplex']",['Tatsunoko Production'],"['Drama', 'Sports', 'Award Winning']",559,358872,14598,2014-04-11,2014-06-20
Shingeki no Kyojin Season 3,8.62,76,TV,12,Summer,"['Mainichi Broadcasting System', 'Production I.G', 'Kodansha', 'Pony Canyon Enterprise', 'Dentsu', 'Pony Canyon', 'Techno Sound']",['Wit Studio'],"['Drama', 'Action']",17,2086617,19128,2018-07-23,2018-10-15
Death Note,8.62,77,TV,37,Fall,"['Nippon Television Network', 'Ashi Productions', 'Shueisha', 'VAP', 'Konami']",['Madhouse'],"['Supernatural', 'Suspense']",2,3563464,162313,2006-10-04,2007-06-27
Evangelion: 3.0+1.0 Thrice Upon a Time,8.62,78,Movie,1,,['KlockWorx'],['Khara'],"['Drama', 'Sci-Fi', 'Suspense', 'Award Winning', 'Action']",634,321491,6401,2021-03-08,2021-03-08
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.61,79,Movie,1,,"['Tokyo MX', 'Hakuhodo DY Music & Pictures', 'ABC Animation', 'BS11', 'Kadokawa', 'Nagoya Broadcasting Network', 'Aniplex']",['CloverWorks'],"['Drama', 'Supernatural', 'Romance']",287,624631,9608,2019-06-15,2019-06-15
Suzumiya Haruhi no Shoushitsu,8.61,80,Movie,1,,"['Kadokawa Shoten', 'Animation Do']",['Kyoto Animation'],"['Supernatural', 'Sci-Fi', 'Mystery']",328,575322,12933,2010-02-06,2010-02-06
Mushishi Zoku Shou: Suzu no Shizuku,8.6,81,Movie,1,,"['Kodansha', 'Delfi Sound', 'Aniplex']",['Artland'],"['Adventure', 'Fantasy', 'Supernatural', 'Mystery', 'Slice of Life']",1603,119181,208,2015-05-16,2015-05-16
Hajime no Ippo: Rising,8.59,82,TV,25,Fall,"['Nippon Television Network', 'Kodansha', 'VAP']","['MAPPA', 'Madhouse']",['Sports'],923,227356,1107,2013-10-06,2014-03-30
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,83,TV,39,Fall,"['Medicos Entertainment', 'KlockWorx', 'Shueisha', 'Warner Bros. Japan']",['David Production'],"['Adventure', 'Supernatural', 'Action']",154,900930,29134,2018-10-06,2019-07-28
Kizumonogatari II: Nekketsu-hen,8.58,84,Movie,1,,"['Kodansha', 'Aniplex']",['Shaft'],"['Supernatural', 'Mystery', 'Action']",479,409633,2237,2016-08-19,2016-08-19
Natsume Yuujinchou San,8.58,85,TV,13,Summer,"['Sakura Create', 'Aniplex']","[""Brain's Base""]","['Drama', 'Supernatural', 'Slice of Life']",883,236380,1333,2011-07-05,2011-09-27
Ookami Kodomo no Ame to Yuki,8.58,86,Movie,1,,"['Kadokawa Shoten', 'Yomiuri Telecasting', 'Dentsu', 'Hiroshima Television', 'VAP', 'Madhouse', 'Toho']",['Studio Chizu'],"['Fantasy', 'Slice of Life', 'Award Winning']",212,760061,10845,2012-07-21,2012-07-21
Road of Naruto,8.57,87,ONA,1,,"['add some', 'None found, ']",['Pierrot'],"['Fantasy', 'Action']",4862,15602,77,2022-10-03,2022-10-03
Shouwa Genroku Rakugo Shinjuu,8.58,88,TV,13,Winter,"['Mainichi Broadcasting System', 'Kodansha', 'Starchild Records', 'DAX Production']",['Studio Deen'],['Drama'],769,273958,5593,2016-01-09,2016-04-02
Natsume Yuujinchou Go,8.57,88,TV,11,Fall,"['TV Tokyo', 'Nihon Ad Systems', 'Hakusensha', 'Aniplex']",['Shuka'],"['Drama', 'Supernatural', 'Slice of Life']",1219,170110,774,2016-10-05,2016-12-21
Ousama Ranking,8.57,90,TV,23,Fall,"['Bandai Spirits', 'Dentsu', 'Kadokawa', 'Fuji TV', 'Aniplex']",['Wit Studio'],"['Adventure', 'Fantasy']",385,495941,10932,2021-10-15,2022-03-25
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,91,Movie,1,,['Aniplex'],['Gainax'],"['Sci-Fi', 'Action']",1038,200930,919,2009-04-22,2009-04-22
Yojouhan Shinwa Taikei,8.57,92,TV,11,Spring,"['Kadokawa Shoten', 'Toho', 'Fujipacific Music', 'Asmik Ace', 'Tohokushinsha Film Corporation', 'Dentsu', 'Sony Music Entertainment', 'Fuji TV']",['Madhouse'],"['Mystery', 'Comedy', 'Romance', 'Award Winning']",472,411743,17182,2010-04-23,2010-07-02
Fate/Zero 2nd Season,8.56,93,TV,12,Spring,"['Nitroplus', 'Notes', 'Seikaisha', 'Aniplex']",['ufotable'],"['Fantasy', 'Supernatural', 'Action']",125,1040733,19791,2012-04-08,2012-06-24
Fruits Basket 2nd Season,8.56,94,TV,25,Spring,"['TMS Music', 'TV Tokyo', 'Avex Pictures', 'TV Osaka', 'Nihon Ad Systems', '8PAN', 'Hakusensha']",['TMS Entertainment'],"['Drama', 'Supernatural', 'Romance']",439,435503,5408,2020-04-07,2020-09-22
Kimi no Suizou wo Tabetai,8.56,95,Movie,1,,"['ABC Animation', 'Aniplex']",['Studio VOLN'],"['Drama', 'Romance']",177,830666,18486,2018-09-01,2018-09-01
Haikyuu!! To the Top Part 2,8.55,96,TV,12,Fall,"['Mainichi Broadcasting System', 'TOHO animation', 'Movic', 'Sony Music Entertainment', 'Dentsu', 'Shueisha']",['Production I.G'],['Sports'],236,706197,5760,2020-10-03,2020-12-19
Kenpuu Denki Berserk,8.55,97,TV,25,Fall,"['Nippon Television Network', 'Hakusensha', 'VAP']",['OLM'],"['Adventure', 'Drama', 'Fantasy', 'Horror', 'Action']",335,570697,23801,1997-10-08,1998-04-01
Neon Genesis Evangelion: The End of Evangelion,8.55,98,Movie,1,,"['TV Tokyo', 'Kadokawa Shoten', 'Movic', 'Sega', 'Toei Animation', 'Audio Tanaka', 'TV Tokyo Music']","['Production I.G', 'Gainax']","['Drama', 'Avant Garde', 'Sci-Fi']",175,836365,25966,1997-07-19,1997-07-19
Shoujo☆Kageki Revue Starlight Movie,8.55,99,Movie,1,,['Bushiroad'],['Kinema Citrus'],,5162,13382,536,2021-06-04,2021-06-04
Spy x Family Part 2,8.55,100,TV,13,Fall,"['TV Tokyo', 'TOHO animation', 'Shueisha', 'Shogakukan-Shueisha Productions']","['CloverWorks', 'Wit Studio']","['Comedy', 'Action']",359,529975,5048,2022-10-01,
Summertime Render,8.55,101,TV,25,Spring,"['Movic', 'Tokyo MX', 'Bandai Spirits', 'MAGES.', 'Shueisha', ""Toy's Factory"", 'Shogakukan-Shueisha Productions']",['OLM'],"['Supernatural', 'Mystery', 'Suspense']",623,328843,5266,2022-04-15,2022-09-30
Zoku Natsume Yuujinchou,8.55,102,TV,13,Winter,"['Nihon Ad Systems', 'Aniplex']","[""Brain's Base""]","['Drama', 'Supernatural', 'Slice of Life']",897,233063,1386,2009-01-06,2009-03-31
Bakuman. 3rd Season,8.54,103,TV,25,Fall,"['NHK', 'Shueisha']",['J.C.Staff'],"['Drama', 'Comedy', 'Romance']",653,314041,2909,2012-10-06,2013-03-30
Mushishi: Hihamukage,8.54,104,Special,1,,"['Kodansha', 'Delfi Sound', 'Aniplex']",['Artland'],"['Adventure', 'Fantasy', 'Supernatural', 'Mystery', 'Slice of Life']",1504,129393,179,2014-01-04,2014-01-04
Slam Dunk,8.54,105,TV,101,Fall,"['TV Asahi', 'Animax']",['Toei Animation'],['Sports'],782,269181,6559,1993-10-16,1996-03-23
Nana,8.53,106,TV,47,Spring,"['Nippon Television Network', 'Shueisha', 'VAP']",['Madhouse'],"['Drama', 'Slice of Life', 'Romance']",323,585058,25385,2006-04-05,2007-03-28
Perfect Blue,8.53,107,Movie,1,,"['Rex Entertainment', 'ONIRO']",['Madhouse'],"['Drama', 'Avant Garde', 'Horror']",299,608451,16443,1998-02-28,1998-02-28
Shingeki no Kyojin,8.53,108,TV,25,Spring,"['Mainichi Broadcasting System', 'Production I.G', 'Kodansha', 'Pony Canyon Enterprise', 'Dentsu', 'Pony Canyon', 'Mad Box']",['Wit Studio'],"['Drama', 'Suspense', 'Award Winning', 'Action']",1,3583787,157889,2013-04-07,2013-09-29
Sora yori mo Tooi Basho,8.53,109,TV,13,Winter,"['Sony Music Communications', 'Movic', 'Kadokawa Media House', 'NewGin', 'AT-X', 'Crunchyroll SC Anime Fund', 'Docomo Anime Store', 'Kadokawa', 'Media Factory']",['Madhouse'],"['Adventure', 'Drama', 'Comedy']",418,458988,13148,2018-01-02,2018-03-27
Yakusoku no Neverland,8.53,110,TV,12,Winter,"['CA-Cygames Anime Fund', 'Shueisha', 'Dentsu', 'Fuji TV', 'Aniplex']",['CloverWorks'],"['Sci-Fi', 'Mystery', 'Suspense']",38,1780871,31713,2019-01-10,2019-03-29
Yuru Camp△ Season 2,8.53,111,TV,13,Winter,"['Half H.P Studio', 'MAGES.', 'DeNA']",['C-Station'],['Slice of Life'],1075,193365,2753,2021-01-07,2021-04-01
Kara no Kyoukai Movie 5: Mujun Rasen,8.53,112,Movie,1,,['Notes'],['ufotable'],"['Drama', 'Supernatural', 'Mystery', 'Suspense', 'Romance', 'Action']",927,225350,4420,2008-08-16,2008-08-16
Karakai Jouzu no Takagi-san Movie,8.53,113,Movie,1,,['TOHO animation'],['Shin-Ei Animation'],,3238,37592,398,2022-06-10,2022-06-10
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,114,Movie,1,,"['TV Tokyo', 'Bandai', 'Warner Bros. Japan', 'Shueisha', 'Dentsu', 'Aniplex']",['Sunrise'],"['Sci-Fi', 'Comedy', 'Action']",1337,151831,586,2010-04-24,2010-04-24
