Name,Score,Rank,Type,Episodes,Premiered,Producers,Studios,Genres,Popularity,Members,Favorites,From,To
Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,7.13,3407,OVA,1,,"['TOHO animation', 'Ichijinsha', 'DAX Production']",['Doga Kobo'],"['Comedy', 'Romance']",2780,49556,21,2014-03-28,2014-03-28
Mirai Keisatsu Urashiman,7.13,3408,TV,50,Winter,['Fuji TV'],['Tatsunoko Production'],"['Sci-Fi', 'Comedy', 'Action']",9834,2320,5,1983-01-09,1983-12-24
Monster Musume no Iru Nichijou OVA,7.13,3409,OVA,2,,"['add some', 'None found, ']",['Lerche'],"['Fantasy', 'Comedy', 'Romance', 'Ecchi']",1808,102815,123,2016-11-12,2017-04-13
Myself; Yourself,7.13,3410,TV,13,Fall,"['Happinet Pictures', 'Pony Canyon', 'Marvelous', '5pb.']",['Doga Kobo'],"['Drama', 'Romance']",1141,180756,771,2007-10-03,2007-12-26
Offside (TV),7.13,3411,TV,39,Spring,['Animax'],['Ashi Productions'],"['Drama', 'Sports', 'Action']",8760,3401,20,2001-05-10,2002-01-31
One Piece Recap,7.13,3412,OVA,1,,"['add some', 'None found, ']",['Toei Animation'],"['Adventure', 'Fantasy', 'Action']",4344,20361,14,2010-03-17,2010-03-17
Onmyou Taisenki,7.13,3413,TV,52,Fall,"['add some', 'None found, ']",['Sunrise'],"['Adventure', 'Fantasy', 'Supernatural']",7177,5926,31,2004-11-30,2005-09-29
Prayer X,7.13,3414,Music,1,,['Sony Music Entertainment'],['PERIMETRON'],['Avant Garde'],10319,1966,10,2018-08-06,2018-08-06
Puchimas!: Petit iDOLM@STER,7.13,3415,ONA,64,,"['add some', 'None found, ']",['Gathering'],"['Slice of Life', 'Comedy']",5174,13288,27,2013-01-01,2013-03-29
Rockman.EXE Axess,7.13,3416,TV,51,Fall,"['TV Tokyo', 'Shogakukan-Shueisha Productions']",['Xebec'],"['Adventure', 'Sci-Fi', 'Comedy', 'Action']",4751,16545,41,2003-10-04,2004-09-25
Shingeki no Bahamut: Genesis - Short Story,7.13,3417,ONA,2,,['Cygames'],['MAPPA'],"['Adventure', 'Fantasy', 'Action']",3908,25758,11,2016-12-28,2017-02-20
Star Wars: Visions,7.13,3418,ONA,9,,['Twin Engine'],"['Kinema Citrus', 'Trigger', 'Production I.G', 'Science SARU', 'Geno Studio', 'Studio Colorido', 'Kamikaze Douga']","['Adventure', 'Sci-Fi', 'Action']",2121,78641,377,2021-09-22,2021-09-22
Super Lovers 2,7.13,3419,TV,10,Winter,"['Sony Music Communications', 'Kadokawa Shoten', 'Lawson HMV Entertainment', 'Movic', 'Tokyo MX', 'TV Saitama', 'AT-X', 'KlockWorx', 'Nippon Columbia', 'DAX Production']",['Studio Deen'],"['Drama', 'Comedy', 'Boys Love']",2046,84645,328,2017-01-12,2017-03-16
Tetsuwan Atom (1980),7.13,3420,TV,52,Fall,['Nippon Television Network'],['Tezuka Productions'],"['Adventure', 'Sci-Fi', 'Action']",5276,12753,81,1980-10-01,1981-12-23
Tokimeki Tonight,7.13,3421,TV,34,Fall,['Toho'],['Group TAC'],"['Fantasy', 'Comedy', 'Romance']",6137,8778,40,1982-10-07,1983-09-22
Tonari no Yamada-kun,7.13,3422,Movie,1,,['Tokuma Shoten'],['Studio Ghibli'],"['Slice of Life', 'Comedy', 'Award Winning']",2993,43604,106,1999-07-17,1999-07-17
Tonkatsu DJ Agetarou,7.13,3423,TV,12,Spring,"['Yomiuri Telecasting', 'Shueisha', 'Yomiuri TV Enterprise', 'DAX Production']",['Studio Deen'],['Comedy'],5114,13632,101,2016-04-10,2016-06-26
Lupin III: $1 Money Wars,7.12,3424,Special,1,,"['Tohokushinsha Film Corporation', 'VAP']",['TMS Entertainment'],"['Adventure', 'Mystery', 'Comedy', 'Action']",6836,6728,1,2000-07-28,2000-07-28
Lupin III: Dead or Alive,7.12,3425,Movie,1,,"['Tohokushinsha Film Corporation', 'VAP']",['Tokyo Movie Shinsha'],"['Adventure', 'Mystery', 'Comedy', 'Action']",5648,10654,5,1996-04-20,1996-04-20
Madan no Ou to Vanadis,7.12,3426,TV,13,Fall,"['Movic', 'Media Factory']",['Satelight'],"['Adventure', 'Fantasy', 'Romance', 'Ecchi']",621,329785,958,2014-10-04,2014-12-27
Michi (Movie),7.12,3427,Movie,4,,['Tomoyasu Murata Company'],"['add some', 'None found, ']","['Drama', 'Slice of Life']",11885,1088,10,,
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,7.12,3428,Movie,1,,"['Kodansha', 'Aniplex']",['A-1 Pictures'],"['Adventure', 'Fantasy', 'Action']",761,276832,320,2018-08-18,2018-08-18
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,7.12,3429,Movie,1,,"['add some', 'None found, ']",['Studio Deen'],"['Adventure', 'Fantasy', 'Action']",2392,64957,224,2021-07-02,2021-07-02
Onegai! Samia Don,7.12,3430,TV,39,Spring,"['NHK', 'Tokyo Movie Shinsha']",['TMS Entertainment'],"['Fantasy', 'Slice of Life', 'Comedy']",11762,1134,4,1985-04-02,1986-02-04
Onegai☆Teacher,7.12,3431,TV,12,Winter,"['Genco', 'Bandai Visual']",['Daume'],"['Drama', 'Sci-Fi', 'Romance']",1226,168543,922,2002-01-10,2002-03-28
Ookiku Furikabutte: Natsu no Scorebook,7.12,3432,OVA,2,,"['add some', 'None found, ']",['A-1 Pictures'],"['Sports', 'Comedy']",8416,3906,2,2010-03-24,2010-03-24
Otaku no Video,7.12,3433,OVA,2,,['Youmex'],['Gainax'],"['Drama', 'Sci-Fi', 'Comedy']",3670,29433,117,1991-09-27,1991-12-20
Rain Town,7.12,3434,ONA,1,,"['add some', 'None found, ']","['add some', 'None found, ']",['Drama'],4009,24369,43,2011-03-04,2011-03-04
Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura,7.12,3435,OVA,1,,"['add some', 'None found, ']",['Kitty Film Mitaka Studio'],"['Slice of Life', 'Comedy']",7940,4619,1,1995-03-03,1995-03-03
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,7.12,3436,OVA,2,,['Aniplex'],['Studio Deen'],"['Drama', 'Action']",3857,26481,36,2011-12-17,2012-06-23
Sayonara Watashi no Cramer Movie: First Touch,7.12,3437,Movie,1,,"['add some', 'None found, ']",['LIDENFILMS'],"['Sports', 'Romance']",5849,9829,18,2021-06-11,2021-06-11
Shakugan no Shana-tan Movie,7.12,3438,Special,1,,"['add some', 'None found, ']",['J.C.Staff'],"['Adventure', 'Fantasy', 'Comedy']",4038,23981,14,2007-09-21,2007-09-21
Shikioriori,7.12,3439,Movie,3,,"['The Answer Studio', 'Haoliners Animation League', 'Tokyo Theatres', 'Sound Team Don Juan', 'bilibili']",['CoMix Wave Films'],"['Drama', 'Slice of Life', 'Romance']",1260,162500,365,2018-08-04,2018-08-04
SSSS.Gridman,7.12,3440,TV,12,Fall,"['Mainichi Broadcasting System', 'Tsuburaya Productions', 'Graphinica', 'Fields', 'KlockWorx', 'Docomo Anime Store', 'BS11', 'Pony Canyon', 'Ultra Super Pictures']",['Trigger'],"['Sci-Fi', 'Action']",771,273349,1252,2018-10-07,2018-12-23
Takahashi Rumiko Gekijou,7.12,3441,TV,13,Summer,['Tokyo Movie Shinsha'],['TMS Entertainment'],"['Drama', 'Supernatural', 'Slice of Life', 'Comedy', 'Romance']",6758,6901,3,2003-07-06,2003-09-28
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura Specials,7.12,3442,Special,2,,['M.S.C'],['Production I.G'],['Sports'],7894,4681,2,2011-08-26,2011-10-26
30-pun de Wakaru! Kore made no Love Live!,7.12,3443,ONA,2,,"['add some', 'None found, ']",['Sunrise'],['Slice of Life'],5929,9534,25,2015-04-24,2015-05-22
Ai Yori Aoshi: Enishi,7.12,3444,TV,12,Fall,"['Movic', 'Rondo Robe', 'Cosmic Ray', 'Geneon Universal Entertainment']",['J.C.Staff'],"['Drama', 'Comedy', 'Romance']",2585,56939,82,2003-10-13,2003-12-29
Amanchu! Advance,7.12,3445,TV,12,Spring,"['Production I.G', 'Tokyo MX', 'AT-X', 'flying DOG', 'Shochiku', 'Mag Garden', 'Frontier Works']",['J.C.Staff'],"['Slice of Life', 'Comedy']",3594,30712,31,2018-04-07,2018-06-23
B'T X Neo,7.12,3446,OVA,14,,['TMS-Kyokuchi'],['TMS Entertainment'],"['Adventure', 'Action']",7826,4796,21,1997-08-21,1998-01-21
Biohazard: Damnation,7.12,3447,Movie,1,,"['Sony Pictures Entertainment', 'Capcom']",['Digital Frontier'],"['Sci-Fi', 'Horror', 'Action']",4002,24479,42,2012-09-15,2012-09-15
Blood Lad: Wagahai wa Neko de wa Nai,7.12,3448,OVA,1,,['Kadokawa Shoten'],"[""Brain's Base""]","['Supernatural', 'Comedy', 'Action']",1761,106946,72,2013-12-04,2013-12-04
Bouto,7.12,3449,Music,1,,"['add some', 'None found, ']",['Khara'],['Action'],13329,678,5,2022-05-23,2022-05-23
Captain Future,7.12,3450,TV,52,Fall,['Harmony Gold'],['Toei Animation'],"['Adventure', 'Sci-Fi', 'Action']",7984,4549,30,1978-11-07,1979-12-18
Cyborg Kuro-chan,7.12,3451,TV,66,Fall,"['Public & Basic', 'Imagine']",['Studio Bogey'],"['Sci-Fi', 'Comedy']",6310,8154,49,1999-10-02,2001-01-06
D.C.if: Da Capo if,7.12,3452,OVA,2,,"['add some', 'None found, ']",['Zexcs'],"['Drama', 'Romance']",4886,15390,17,2008-12-25,2009-03-25
Daisougen no Chiisana Tenshi: Bush Baby,7.12,3453,TV,40,Winter,['Fuji TV'],['Nippon Animation'],"['Adventure', 'Drama']",9518,2586,4,1992-01-12,1992-12-20
Dokidoki♡Densetsu: Mahoujin Guruguru,7.12,3454,TV,38,Spring,"['TV Tokyo', 'Sotsu']",['Nippon Animation'],"['Adventure', 'Fantasy', 'Comedy']",8438,3875,5,2000-04-04,2000-12-26
Dragon Ball Movie 4: Saikyou e no Michi,7.12,3455,Movie,1,,"['add some', 'None found, ']",['Toei Animation'],"['Adventure', 'Fantasy', 'Sci-Fi', 'Comedy', 'Action']",2578,57128,34,1996-03-02,1996-03-02
